,cand_nm,economic_region,contb_receipt_dt_format,contb_receipt_amt
0,"Obama, Barack",Far West,2011-04-15 00:00:00,-500.0
1,"Obama, Barack",Far West,2011-04-16 00:00:00,-1000.0
2,"Obama, Barack",Far West,2011-04-20 00:00:00,-1600.0
3,"Obama, Barack",Far West,2011-04-26 00:00:00,-5000.0
4,"Obama, Barack",Far West,2011-04-27 00:00:00,-1000.0
5,"Obama, Barack",Far West,2011-04-29 00:00:00,-100.0
6,"Obama, Barack",Far West,2011-04-30 00:00:00,-500.0
7,"Obama, Barack",Far West,2011-05-05 00:00:00,-600.0
8,"Obama, Barack",Far West,2011-05-09 00:00:00,-100.0
9,"Obama, Barack",Far West,2011-05-10 00:00:00,-250.0
10,"Obama, Barack",Far West,2011-05-11 00:00:00,-50.0
11,"Obama, Barack",Far West,2011-05-12 00:00:00,-100.0
12,"Obama, Barack",Far West,2011-05-16 00:00:00,-150.0
13,"Obama, Barack",Far West,2011-05-18 00:00:00,-200.0
14,"Obama, Barack",Far West,2011-05-20 00:00:00,-2750.0
15,"Obama, Barack",Far West,2011-05-21 00:00:00,-545.0
16,"Obama, Barack",Far West,2011-05-24 00:00:00,-1000.0
17,"Obama, Barack",Far West,2011-05-25 00:00:00,-346.0
18,"Obama, Barack",Far West,2011-05-26 00:00:00,-100.0
19,"Obama, Barack",Far West,2011-05-30 00:00:00,-2500.0
20,"Obama, Barack",Far West,2011-05-31 00:00:00,-100.0
21,"Obama, Barack",Far West,2011-06-01 00:00:00,-2350.0
22,"Obama, Barack",Far West,2011-06-02 00:00:00,-200.0
23,"Obama, Barack",Far West,2011-06-04 00:00:00,-100.0
24,"Obama, Barack",Far West,2011-06-08 00:00:00,-450.0
25,"Obama, Barack",Far West,2011-06-09 00:00:00,-50.0
26,"Obama, Barack",Far West,2011-06-12 00:00:00,-25.0
27,"Obama, Barack",Far West,2011-06-14 00:00:00,-100.0
28,"Obama, Barack",Far West,2011-06-15 00:00:00,-50.0
29,"Obama, Barack",Far West,2011-06-16 00:00:00,-500.0
30,"Obama, Barack",Far West,2011-06-18 00:00:00,-475.0
31,"Obama, Barack",Far West,2011-06-21 00:00:00,-2575.0
32,"Obama, Barack",Far West,2011-06-22 00:00:00,-1575.0
33,"Obama, Barack",Far West,2011-06-23 00:00:00,-11625.0
34,"Obama, Barack",Far West,2011-06-24 00:00:00,-1780.0
35,"Obama, Barack",Far West,2011-06-25 00:00:00,-2500.0
36,"Obama, Barack",Far West,2011-06-27 00:00:00,-44332.42
37,"Obama, Barack",Far West,2011-06-28 00:00:00,-6410.29
38,"Obama, Barack",Far West,2011-06-29 00:00:00,-25768.26
39,"Obama, Barack",Far West,2011-06-30 00:00:00,-32855.0
40,"Obama, Barack",Far West,2011-07-01 00:00:00,-3690.0
41,"Obama, Barack",Far West,2011-07-04 00:00:00,-1810.0
42,"Obama, Barack",Far West,2011-07-06 00:00:00,-25.0
43,"Obama, Barack",Far West,2011-07-07 00:00:00,-1000.0
44,"Obama, Barack",Far West,2011-07-08 00:00:00,-25800.0
45,"Obama, Barack",Far West,2011-07-09 00:00:00,-330.0
46,"Obama, Barack",Far West,2011-07-11 00:00:00,-3055.0
47,"Obama, Barack",Far West,2011-07-12 00:00:00,-2914.0
48,"Obama, Barack",Far West,2011-07-13 00:00:00,-3735.8
49,"Obama, Barack",Far West,2011-07-15 00:00:00,-2800.0
50,"Obama, Barack",Far West,2011-07-18 00:00:00,-3849.98
51,"Obama, Barack",Far West,2011-07-19 00:00:00,-1760.0
52,"Obama, Barack",Far West,2011-07-22 00:00:00,-1000.0
53,"Obama, Barack",Far West,2011-07-25 00:00:00,-990.0
54,"Obama, Barack",Far West,2011-07-26 00:00:00,-245.0
55,"Obama, Barack",Far West,2011-07-27 00:00:00,-650.0
56,"Obama, Barack",Far West,2011-07-28 00:00:00,-2455.0
57,"Obama, Barack",Far West,2011-07-29 00:00:00,-1500.0
58,"Obama, Barack",Far West,2011-08-01 00:00:00,-100.0
