"SubjectAssgn","GenID","ExpAssgn","Language","Training","TrainType","Sex","Instrument","InstYears","InstPlay","EarTrain","EarTrainYear","Vowel","VowelHeight","VowelPosition","F1","F2","F3","F1.F2","F1.F3","F2.F3","BarkF2.F1","BarkF3.F1","BarkF3.F2","Item","ItemType","SCGDiff","logSCGDiff","RT","RespNum","RespNum2","absRT","logAbsRT","ItemPair"
"a-i-subject-1","Subject1","a-i","english","yes","formal","female","piano","12","current","no","n/a","a","low","back",768,1333,2522,0.576,0.305,0.529,3.306,7.539,4.233,"a-2-2","same",0,0,684.71,1,100,684.71,2.835506671,"2-2"
"a-i-subject-1","Subject1","a-i","english","yes","formal","female","piano","12","current","no","n/a","a","low","back",768,1333,2522,0.576,0.305,0.529,3.306,7.539,4.233,"a-2-2","same",0,0,707.26,1,100,707.26,2.849579097,"2-2"
"a-i-subject-1","Subject1","a-i","english","yes","formal","female","piano","12","current","no","n/a","a","low","back",768,1333,2522,0.576,0.305,0.529,3.306,7.539,4.233,"a-2-2","same",0,0,443.42,1,100,443.42,2.646815278,"2-2"
"a-i-subject-1","Subject1","a-i","english","yes","formal","female","piano","12","current","no","n/a","a","low","back",768,1333,2522,0.576,0.305,0.529,3.306,7.539,4.233,"a-2-2","same",0,0,561.19,1,100,561.19,2.749109924,"2-2"
"a-i-subject-1","Subject1","a-i","english","yes","formal","female","piano","12","current","no","n/a","a","low","back",768,1333,2522,0.576,0.305,0.529,3.306,7.539,4.233,"a-2-2","same",0,0,534.67,1,100,534.67,2.728085817,"2-2"
"a-i-subject-1","Subject1","a-i","english","yes","formal","female","piano","12","current","no","n/a","a","low","back",768,1333,2522,0.576,0.305,0.529,3.306,7.539,4.233,"a-2-2","same",0,0,514.24,1,100,514.24,2.711165855,"2-2"
"a-i-subject-1","Subject1","a-i","english","yes","formal","female","piano","12","current","no","n/a","a","low","back",768,1333,2522,0.576,0.305,0.529,3.306,7.539,4.233,"a-2-2","same",0,0,703.22,1,100,703.22,2.847091214,"2-2"
"a-i-subject-1","Subject1","a-i","english","yes","formal","female","piano","12","current","no","n/a","a","low","back",768,1333,2522,0.576,0.305,0.529,3.306,7.539,4.233,"a-2-2","same",0,0,380.2,1,100,380.2,2.580012113,"2-2"
"a-i-subject-1","Subject1","a-i","english","yes","formal","female","piano","12","current","no","n/a","a","low","back",768,1333,2522,0.576,0.305,0.529,3.306,7.539,4.233,"a-2-2","same",0,0,511.74,1,100,511.74,2.709049365,"2-2"
"a-i-subject-1","Subject1","a-i","english","yes","formal","female","piano","12","current","no","n/a","a","low","back",768,1333,2522,0.576,0.305,0.529,3.306,7.539,4.233,"a-2-2","same",0,0,441.72,1,100,441.72,2.645147063,"2-2"
"a-i-subject-1","Subject1","a-i","english","yes","formal","female","piano","12","current","no","n/a","a","low","back",768,1333,2522,0.576,0.305,0.529,3.306,7.539,4.233,"a-2-2","same",0,0,625.95,1,100,625.95,2.796539644,"2-2"
