"","coords_from_city","state_code","county","FIPS","latitude","longitude","cty_id","Median_Age","Dpercent_2008","Rpercent_2008","Dvote_2008","Rvote_2008","Dpercent_2012","Rpercent_2012","Dvote_2012","Rvote_2012","County_Category_2008","County_Category_2012","overall_LS","percent_female","population_density","percent_white","percent_hispanic","percent_black","mean_income","log_mean_income","percent_asian","percent_bachelors","median_income","Rpercent_diff_squared","Rpercent_diff_abs"
"1","Prattville","AL","Autauga County",1001,32.46402,-86.4597,1001,37,25.8,73.5,6093,17403,26.6,72.6,6354,17366,3,3,3.4011593766,51.3,91.8,77.3,2.2,18.4,62986,11.0507,0.6,21.8,51463,NA,NA
"2","Daphne","AL","Baldwin County",1003,30.60353,-87.9036,1003,41.1,23.8,75.3,19386,61271,21.6,77.4,18329,65772,3,3,3.4356744788,51.1,114.6,84.7,3.3,10,65091,11.0835,0.6,26.6,48918,NA,NA
"3","Eufaula","AL","Barbour County",1005,31.89127,-85.14549,1005,39,49,50.4,5697,5866,51.3,48.3,5873,5539,2,2,3.3976362908,46.9,31,47.2,5,46.6,40998,10.6213,0.3,12.4,32537,NA,NA
"4","Brent","AL","Bibb County",1007,32.93735,-87.16472,1007,37.8,26.6,72.4,2299,6262,26.2,73.1,2200,6131,3,3,3.3616615619,46.3,36.8,75.4,1.5,22.3,49671,10.8132,0.1,11.1,41236,NA,NA
"5","Oneonta","AL","Blount County",1009,33.94815,-86.47276,1009,39,14.5,84,3522,20389,12.3,86.5,2961,20741,3,3,3.4023858518,50.5,88.9,88.6,7.9,2.1,55028,10.9156,0.2,12.3,45406,NA,NA
"6","Union Springs","AL","Bullock County",1011,32.14432,-85.71495,1011,38.5,74,25.7,4011,1391,76.3,23.5,4058,1250,1,1,NA,45.8,17.5,22.1,9.4,68.2,43609,10.683,0.3,9,26209,NA,NA
"7","Greenville","AL","Butler County",1013,31.8296,-86.61775,1013,40.1,43.1,56.5,4188,5485,46.1,53.6,4367,5081,3,2,3.3282137074,53,27,56.2,1,41.9,41486,10.6331,0.5,12.3,31938,NA,NA
"8","Anniston","AL","Calhoun County",1015,33.65983,-85.83163,1015,38.2,33.2,65.7,16334,32348,33.5,65.5,15500,30272,3,3,3.3785848578,51.8,195.7,75.2,2.6,20,50831,10.8363,0.8,17.5,38382,NA,NA
"9","Valley","AL","Chambers County",1017,32.81874,-85.17939,1017,41.5,45.5,53.9,6799,8067,47.1,52.2,6853,7596,2,2,3.3321610527,52.2,57.4,59.8,1.5,37.8,41665,10.6374,0.2,10.3,32433,NA,NA
"10","Centre","AL","Cherokee County",1019,34.15204,-85.67885,1019,43.9,23.7,74.9,2306,7298,21.8,76.8,2126,7494,3,3,3.3941583613,50.4,46.9,91.5,1.3,5.6,48348,10.7862,0.4,10,40240,NA,NA
"11","Clanton","AL","Chilton County",1021,32.83874,-86.62943,1021,37.6,20.7,78.5,3674,13960,19.5,79.8,3391,13910,3,3,3.3553232869,50.5,63,82.4,5.4,11.4,51001,10.8396,0.3,11.3,38966,NA,NA
"12","Butler","AL","Choctaw County",1023,32.08959,-88.22197,1023,43.4,46.1,53.5,3636,4223,47.5,52.1,3785,4150,2,2,3.3600298939,51.7,15.2,55,0.9,43.6,39342,10.58,0.1,10.8,30749,NA,NA
